,date,tweets_count
149,2019-11-14,-0.3084124953444316
150,2019-11-15,-0.23675448822626405
151,2019-11-16,-0.36539802530706955
152,2019-11-17,-0.21000315361441452
153,2019-11-18,-0.2369767984861963
154,2019-11-19,-0.17650840778461951
155,2019-11-20,2.8205303097822565
156,2019-11-21,0.3382139473785573
157,2019-11-22,-0.5780748406422722
158,2019-11-23,-0.8593714228765681
159,2019-11-24,-0.6604037402371886
160,2019-11-25,0.9763926002241201
161,2019-11-26,0.6160276688739144
162,2019-11-27,0.1292423030422258
163,2019-11-28,-0.11018584690482637
164,2019-11-29,-0.6478061588410268
165,2019-11-30,-0.7317653336754465
166,2019-12-01,-0.7581461511874089
167,2019-12-02,-0.5866708373596532
168,2019-12-03,-0.7007160007049065
169,2019-12-04,0.09819297007168577
