bin_id,sentiment,Tstart,Tend,bin_position
1773,-0.30000,1584567272838,1584636722287,2
1790,-0.90000,1584359033681,1584636640101,1
1791,-0.90000,1584359033681,1584636640101,2
1830,-0.40000,1584631285427,1584636557172,1
1831,-0.70000,1584631285427,1584636557172,2
1832,-0.50000,1584631285427,1584636557172,3
1838,-0.60000,1584631285427,1584636526954,1
1846,-0.80000,1584470586202,1584636455605,1
1847,-0.90000,1584470586202,1584636455605,2
1852,-0.35000,1584630776525,1584636438768,1
1864,0.00000,1584628313633,1584636394812,1
1865,-0.40000,1584628313633,1584636394812,2
1869,-0.30000,1584619429783,1584636360615,1
1870,0.60000,1584619429783,1584636360615,2
1871,-0.10000,1584619429783,1584636360615,3
1872,-0.30000,1584619429783,1584636360615,4
1873,0.10000,1584619429783,1584636360615,5
1892,0.00000,1584620539869,1584636306467,1
1893,-0.90000,1584620539869,1584636306467,2
1904,-0.80000,1584546369143,1584636260254,1
1905,0.80000,1584546369143,1584636260254,2
1916,-0.80000,1584633513424,1584636224616,1
1917,-0.35000,1584633513424,1584636224616,2
1918,-0.10000,1584633513424,1584636224616,3
1919,1.00000,1584633513424,1584636224616,4
1928,0.00000,1584525920806,1584636210764,1
1929,-0.70000,1584525920806,1584636210764,2
1937,-0.80000,1584616952320,1584636160308,1
1942,-0.70000,1584635997541,1584636105108,1
1943,-0.60000,1584635997541,1584636105108,2
1944,-0.83333,1584635997541,1584636105108,3
1945,-0.90000,1584635997541,1584636105108,4
1950,-0.90000,1584567029465,1584636074356,1
1951,-0.80000,1584567029465,1584636074356,2
1958,-0.50000,1584629899771,1584636064320,1
1969,-0.36667,1584559830242,1584636038530,1
1981,-0.90000,1584628656016,1584636024502,1
1982,-0.10000,1584628656016,1584636024502,2
1994,-0.80000,1584628313633,1584635998058,1
1995,-0.40000,1584628313633,1584635998058,2
2007,0.03750,1584552880807,1584635920325,1
2022,-0.90000,1584632005963,1584635869819,1
2024,-0.90000,1584628313633,1584635864758,1
2025,0.30000,1584628313633,1584635864758,2
2026,0.00000,1584628313633,1584635864758,3
2027,-0.20000,1584628313633,1584635864758,4
2028,-0.80000,1584631285427,1584635855280,1
2029,-0.35000,1584631285427,1584635855280,2
2030,-0.10000,1584631285427,1584635855280,3
2031,-0.80000,1584631285427,1584635855280,4
2052,-0.85000,1584631285427,1584635739772,1
2053,-0.60000,1584631285427,1584635739772,2
2054,-0.90000,1584631285427,1584635739772,3
2060,-0.40000,1584345903782,1584635722300,1
2061,-0.80000,1584345903782,1584635722300,2
2079,-0.80000,1584546369143,1584635642307,1
2080,0.05000,1584546369143,1584635642307,2
2109,0.00000,1584559156323,1584635573656,1
2115,-0.25000,1584586034222,1584635551753,1
2120,-0.10000,1584633516067,1584635544929,1
2121,-0.85000,1584633516067,1584635544929,2
2122,0.70000,1584633516067,1584635544929,3
2130,-0.80000,1584601167027,1584635524062,1
2131,-0.30000,1584601167027,1584635524062,2
2139,-0.90000,1584630414861,1584635488278,1
2140,-0.90000,1584630414861,1584635488278,2
2154,-0.80000,1584635190156,1584635436742,1
2155,0.10000,1584635190156,1584635436742,2
2156,0.00000,1584635190156,1584635436742,3
2183,-0.45000,1584631285427,1584635393702,1
2192,-0.90000,1584635343692,1584635362919,1
2193,-0.70000,1584631285427,1584635352040,1
2207,-0.90000,1584520875014,1584635309207,1
2208,-0.80000,1584520875014,1584635309207,2
2216,-0.30000,1584632180224,1584635276462,1
2217,0.30000,1584632180224,1584635276462,2
2218,-0.30000,1584631285427,1584635267380,1
2219,1.00000,1584631285427,1584635267380,2
2223,-0.80000,1584452265912,1584635245165,1
2224,0.00000,1584452265912,1584635245165,2
2234,-0.90000,1584113625896,1584635223557,1
2250,0.00000,1584634745564,1584635169269,1
2251,0.30000,1584634745564,1584635169269,2
2252,0.00000,1584634745564,1584635169269,3
2253,-0.10000,1584634745564,1584635169269,4
2283,-0.90000,1584538493635,1584635036036,1
2293,-0.40000,1584217361608,1584634998556,1
2296,0.05000,1584634068358,1584634988154,1
2298,-0.60000,1584619429783,1584634980432,1
2299,-0.90000,1584619429783,1584634980432,2
2307,-0.80000,1584598332420,1584634970302,1
2308,-0.20000,1584634575629,1584634963452,1
2314,-0.60000,1584352952143,1584634942703,1
2315,0.00000,1584352952143,1584634942703,2
2320,-0.60000,1584097864983,1584634932215,1
2321,-0.30000,1584097864983,1584634932215,2
2329,-0.20000,1584528520328,1584634886615,1
2336,-0.50000,1584631285427,1584634846683,1
2337,-0.80000,1584631285427,1584634846683,2
2347,-0.70000,1584264315178,1584634805363,1
2348,-0.90000,1584264315178,1584634805363,2
2349,-0.90000,1584447681770,1584634797672,1
2356,-0.80000,1584628313633,1584634778012,1
2357,1.00000,1584628313633,1584634778012,2
2360,-0.70000,1584631285427,1584634772163,1
2361,-0.60000,1584631285427,1584634772163,2
2362,-0.52500,1584610625522,1584634770044,1
2383,0.00000,1584634574649,1584634707055,1
2387,-0.20000,1584628775045,1584634698968,1
2388,-0.80000,1584628775045,1584634698968,2
2402,-0.80000,1584546369143,1584634638212,1
2403,0.70000,1584546369143,1584634638212,2
2407,-0.80000,1584634323589,1584634630369,1
2408,-0.80000,1584634323589,1584634630369,2
2438,-0.60000,1584628313633,1584634574496,1
2439,-0.10000,1584628313633,1584634574496,2
2442,-0.60000,1584624449164,1584634570436,1
2443,-0.60000,1584624449164,1584634570436,2
2452,-0.80000,1584633885882,1584634561891,1
2453,-0.80000,1584633885882,1584634561891,2
2454,-0.90000,1584630896465,1584634560454,1
2455,-0.90000,1584630896465,1584634560454,2
2462,-0.60000,1584546369143,1584634525503,1
2463,-0.90000,1584546369143,1584634525503,2
2464,-0.20000,1584546369143,1584634525503,3
2465,-0.90000,1584529292219,1584634524589,1
2473,0.00000,1584633405261,1584634500702,1
2481,-0.20000,1584633061799,1584634466015,1
2492,-0.80000,1584629793213,1584634424252,1
2493,-0.90000,1584629793213,1584634424252,2
2504,-0.20000,1584631285427,1584634377118,1
2505,-0.60000,1584631285427,1584634377118,2
2506,-0.10000,1584631285427,1584634377118,3
2507,-0.62500,1584631285427,1584634377118,4
2523,-0.90000,1584631865120,1584634329022,1
2524,-0.90000,1584631865120,1584634329022,2
2525,-0.50000,1584528585847,1584634327210,1
2533,-0.80000,1584598332420,1584634273351,1
2535,-0.90000,1584631285427,1584634269132,1
2536,-0.70000,1584631285427,1584634269132,2
2540,0.00000,1584631285427,1584634263621,1
2541,0.10000,1584631285427,1584634263621,2
2545,1.00000,1584627718182,1584634252639,1
2549,-0.25000,1584629450394,1584634234279,1
2550,-0.80000,1584631285427,1584634227416,1
2551,-0.70000,1584631285427,1584634227416,2
2552,0.06000,1584611907606,1584634224519,1
2555,-0.90000,1584538493635,1584634197010,1
2556,-0.90000,1584538493635,1584634197010,2
2564,-0.80000,1584633892372,1584634143592,1
2565,-0.90000,1584633892372,1584634143592,2
2567,-0.40000,1584527944730,1584634123299,1
2587,-0.80000,1584552880807,1584634066114,1
2588,-0.80000,1584552880807,1584634066114,2
2596,-0.20000,1584626950131,1584634053380,1
2597,-0.50000,1584633876419,1584634050652,1
2601,-0.20000,1584631321888,1584634036957,1
2621,-0.80000,1584616245490,1584633983416,1
2622,-0.70000,1584616245490,1584633983416,2
2646,-0.80000,1584628207401,1584633855461,1
2665,-0.90000,1584586034222,1584633777129,1
2693,-0.33333,1584105251199,1584633670286,1
2708,-0.16667,1584632354145,1584633628321,1
2709,-0.90000,1584632354145,1584633628321,2
2710,0.00000,1584632354145,1584633628321,3
2711,-0.40000,1584626831813,1584633622990,1
2712,0.30000,1584626831813,1584633622990,2
2742,-0.65000,1584181749592,1584633495798,1
2744,-0.40000,1584633320935,1584633472460,1
2745,0.90000,1584633320935,1584633472460,2
2750,-0.85000,1584525920806,1584633456207,1
2758,-0.80000,1584630414861,1584633403551,1
2759,-0.20000,1584630414861,1584633403551,2
2760,-0.40000,1584630414861,1584633403551,3
2792,-0.45000,1584631285427,1584633265779,1
2835,-0.80000,1584629587770,1584633115608,1
2836,-0.90000,1584632908878,1584633084421,1
2837,-0.59412,1584632908878,1584633084421,2
2838,-0.80000,1584385900092,1584633082012,1
2842,-0.90000,1584181749592,1584633056064,1
2843,-0.50000,1584181749592,1584633056064,2
2844,-0.80000,1584181749592,1584633056064,3
2870,-0.60000,1584555534293,1584632967763,1
2871,-0.70000,1584555534293,1584632967763,2
2882,0.25000,1584628840132,1584632927345,1
2886,-0.80000,1584631285427,1584632901415,1
2912,-0.80000,1584631285427,1584632789103,1
2913,0.00000,1584631285427,1584632789103,2
2914,-0.90000,1584598475979,1584632752371,1
2915,0.40000,1584598475979,1584632752371,2
2927,-0.90000,1584631017888,1584632676887,1
2931,-0.70000,1584574327246,1584632660998,1
2932,-0.80000,1584574327246,1584632660998,2
2933,-0.80000,1584574327246,1584632660998,3
2936,-0.23333,1584538493635,1584632620643,1
2939,-0.80000,1584631285427,1584632593870,1
2940,-0.80000,1584631285427,1584632593870,2
2945,-0.90000,1584616302400,1584632578770,1
2946,-0.80000,1584616302400,1584632578770,2
2955,0.10000,1584631285427,1584632462264,1
2962,-0.23333,1584380087810,1584632394178,1
2966,0.00000,1584574566179,1584632321156,1
2989,0.10000,1584105251199,1584632130542,1
2993,-0.80000,1584552134524,1584632054955,1
2994,1.00000,1584552134524,1584632054955,2
